Depot A 1 traded 1 product A for 14$. New balance is 119, stock remaining is 34
Depot A 10 traded 1 product A for 14$. New balance is 68, stock remaining is 29
Depot A 10 traded 1 product A for 14$. New balance is 82, stock remaining is 28
Depot A 10 traded 1 product A for 14$. New balance is 96, stock remaining is 27
Depot A 10 traded 1 product A for 14$. New balance is 110, stock remaining is 26
Depot A 10 traded 1 product A for 14$. New balance is 124, stock remaining is 25
Depot A 10 traded 1 product A for 14$. New balance is 138, stock remaining is 24
Depot A 10 traded 1 product A for 14$. New balance is 152, stock remaining is 23
Depot A 10 traded 1 product A for 14$. New balance is 166, stock remaining is 22
Depot A 10 traded 1 product A for 14$. New balance is 180, stock remaining is 21
Depot A 10 traded 1 product A for 14$. New balance is 194, stock remaining is 20
Depot A 10 traded 1 product A for 14$. New balance is 208, stock remaining is 19
Depot A 10 traded 1 product A for 14$. New balance is 222, stock remaining is 18
Depot A 10 traded 1 product A for 14$. New balance is 236, stock remaining is 17
Depot A 10 traded 1 product A for 14$. New balance is 250, stock remaining is 16
Depot A 10 traded 1 product A for 14$. New balance is 264, stock remaining is 15
Depot A 11 traded 1 product A for 4$. New balance is 90, stock remaining is 21
Depot A 11 traded 1 product A for 4$. New balance is 94, stock remaining is 20
Depot A 11 traded 1 product A for 4$. New balance is 98, stock remaining is 19
Depot A 11 traded 1 product A for 4$. New balance is 102, stock remaining is 18
Depot A 11 traded 1 product A for 4$. New balance is 106, stock remaining is 17
Depot A 11 traded 1 product A for 4$. New balance is 110, stock remaining is 16
Depot A 11 traded 1 product A for 4$. New balance is 114, stock remaining is 15
Depot A 12 traded 1 product A for 10$. New balance is 60, stock remaining is 32
Depot A 12 traded 1 product A for 10$. New balance is 70, stock remaining is 31
Depot A 12 traded 1 product A for 10$. New balance is 80, stock remaining is 30
Depot A 12 traded 1 product A for 10$. New balance is 90, stock remaining is 29
Depot A 12 traded 1 product A for 10$. New balance is 100, stock remaining is 28
Depot A 12 traded 1 product A for 10$. New balance is 110, stock remaining is 27
Depot A 12 traded 1 product A for 10$. New balance is 120, stock remaining is 26
Depot A 12 traded 1 product A for 10$. New balance is 130, stock remaining is 25
Depot A 12 traded 1 product A for 10$. New balance is 140, stock remaining is 24
Depot A 12 traded 1 product A for 10$. New balance is 150, stock remaining is 23
Depot A 12 traded 1 product A for 10$. New balance is 160, stock remaining is 22
Depot A 12 traded 1 product A for 10$. New balance is 170, stock remaining is 21
Depot A 12 traded 1 product A for 10$. New balance is 180, stock remaining is 20
Depot A 12 traded 1 product A for 10$. New balance is 190, stock remaining is 19
Depot A 12 traded 1 product A for 10$. New balance is 200, stock remaining is 18
Depot A 12 traded 1 product A for 10$. New balance is 210, stock remaining is 17
Depot A 12 traded 1 product A for 10$. New balance is 220, stock remaining is 16
Depot A 12 traded 1 product A for 10$. New balance is 230, stock remaining is 15
Depot A 13 traded 1 product A for 12$. New balance is 66, stock remaining is 30
Depot A 13 traded 1 product A for 12$. New balance is 78, stock remaining is 29
Depot A 13 traded 1 product A for 12$. New balance is 90, stock remaining is 28
Depot A 13 traded 1 product A for 12$. New balance is 102, stock remaining is 27
Depot A 13 traded 1 product A for 12$. New balance is 114, stock remaining is 26
Depot A 13 traded 1 product A for 12$. New balance is 126, stock remaining is 25
Depot A 13 traded 1 product A for 12$. New balance is 138, stock remaining is 24
Depot A 13 traded 1 product A for 12$. New balance is 150, stock remaining is 23
Depot A 13 traded 1 product A for 12$. New balance is 162, stock remaining is 22
Depot A 13 traded 1 product A for 12$. New balance is 174, stock remaining is 21
Depot A 13 traded 1 product A for 12$. New balance is 186, stock remaining is 20
Depot A 13 traded 1 product A for 12$. New balance is 198, stock remaining is 19
Depot A 13 traded 1 product A for 12$. New balance is 210, stock remaining is 18
Depot A 13 traded 1 product A for 12$. New balance is 222, stock remaining is 17
Depot A 13 traded 1 product A for 12$. New balance is 234, stock remaining is 16
Depot A 13 traded 1 product A for 12$. New balance is 246, stock remaining is 15
Depot A 14 traded 1 product A for 14$. New balance is 95, stock remaining is 22
Depot A 14 traded 1 product A for 14$. New balance is 109, stock remaining is 21
Depot A 14 traded 1 product A for 14$. New balance is 123, stock remaining is 20
Depot A 14 traded 1 product A for 14$. New balance is 137, stock remaining is 19
Depot A 14 traded 1 product A for 14$. New balance is 151, stock remaining is 18
Depot A 14 traded 1 product A for 14$. New balance is 165, stock remaining is 17
Depot A 14 traded 1 product A for 14$. New balance is 179, stock remaining is 16
Depot A 14 traded 1 product A for 14$. New balance is 193, stock remaining is 15
Depot A 16 traded 1 product A for 18$. New balance is 90, stock remaining is 32
Depot A 16 traded 1 product A for 18$. New balance is 108, stock remaining is 31
Depot A 16 traded 1 product A for 18$. New balance is 126, stock remaining is 30
Depot A 16 traded 1 product A for 18$. New balance is 144, stock remaining is 29
Depot A 16 traded 1 product A for 18$. New balance is 162, stock remaining is 28
Depot A 16 traded 1 product A for 18$. New balance is 180, stock remaining is 27
Depot A 16 traded 1 product A for 18$. New balance is 198, stock remaining is 26
Depot A 16 traded 1 product A for 18$. New balance is 216, stock remaining is 25
Depot A 16 traded 1 product A for 18$. New balance is 234, stock remaining is 24
Depot A 16 traded 1 product A for 18$. New balance is 252, stock remaining is 23
Depot A 16 traded 1 product A for 18$. New balance is 270, stock remaining is 22
Depot A 16 traded 1 product A for 18$. New balance is 288, stock remaining is 21
Depot A 16 traded 1 product A for 18$. New balance is 306, stock remaining is 20
Depot A 16 traded 1 product A for 18$. New balance is 324, stock remaining is 19
Depot A 16 traded 1 product A for 18$. New balance is 342, stock remaining is 18
Depot A 16 traded 1 product A for 18$. New balance is 360, stock remaining is 17
Depot A 16 traded 1 product A for 18$. New balance is 378, stock remaining is 16
Depot A 16 traded 1 product A for 18$. New balance is 396, stock remaining is 15
Depot A 17 traded 1 product A for 10$. New balance is 106, stock remaining is 17
Depot A 17 traded 1 product A for 10$. New balance is 116, stock remaining is 16
Depot A 17 traded 1 product A for 10$. New balance is 126, stock remaining is 15
Depot A 18 traded 1 product A for 8$. New balance is 98, stock remaining is 27
Depot A 18 traded 1 product A for 8$. New balance is 106, stock remaining is 26
Depot A 18 traded 1 product A for 8$. New balance is 114, stock remaining is 25
Depot A 18 traded 1 product A for 8$. New balance is 122, stock remaining is 24
Depot A 18 traded 1 product A for 8$. New balance is 130, stock remaining is 23
Depot A 18 traded 1 product A for 8$. New balance is 138, stock remaining is 22
Depot A 18 traded 1 product A for 8$. New balance is 146, stock remaining is 21
Depot A 18 traded 1 product A for 8$. New balance is 154, stock remaining is 20
Depot A 18 traded 1 product A for 8$. New balance is 162, stock remaining is 19
Depot A 18 traded 1 product A for 8$. New balance is 170, stock remaining is 18
Depot A 18 traded 1 product A for 8$. New balance is 178, stock remaining is 17
Depot A 18 traded 1 product A for 8$. New balance is 186, stock remaining is 16
Depot A 18 traded 1 product A for 8$. New balance is 194, stock remaining is 15
Depot A 19 traded 1 product A for 2$. New balance is 75, stock remaining is 21
Depot A 19 traded 1 product A for 2$. New balance is 77, stock remaining is 20
Depot A 19 traded 1 product A for 2$. New balance is 79, stock remaining is 19
Depot A 19 traded 1 product A for 2$. New balance is 81, stock remaining is 18
Depot A 19 traded 1 product A for 2$. New balance is 83, stock remaining is 17
Depot A 19 traded 1 product A for 2$. New balance is 85, stock remaining is 16
Depot A 19 traded 1 product A for 2$. New balance is 87, stock remaining is 15
Depot A 20 traded 1 product A for 2$. New balance is 97, stock remaining is 31
Depot A 20 traded 1 product A for 2$. New balance is 99, stock remaining is 30
Depot A 20 traded 1 product A for 2$. New balance is 101, stock remaining is 29
Depot A 20 traded 1 product A for 2$. New balance is 103, stock remaining is 28
Depot A 20 traded 1 product A for 2$. New balance is 105, stock remaining is 27
Depot A 20 traded 1 product A for 2$. New balance is 107, stock remaining is 26
Depot A 20 traded 1 product A for 2$. New balance is 109, stock remaining is 25
Depot A 20 traded 1 product A for 2$. New balance is 111, stock remaining is 24
Depot A 20 traded 1 product A for 2$. New balance is 113, stock remaining is 23
Depot A 20 traded 1 product A for 2$. New balance is 115, stock remaining is 22
Depot A 20 traded 1 product A for 2$. New balance is 117, stock remaining is 21
Depot A 20 traded 1 product A for 2$. New balance is 119, stock remaining is 20
Depot A 20 traded 1 product A for 2$. New balance is 121, stock remaining is 19
Depot A 20 traded 1 product A for 2$. New balance is 123, stock remaining is 18
Depot A 20 traded 1 product A for 2$. New balance is 125, stock remaining is 17
Depot A 20 traded 1 product A for 2$. New balance is 127, stock remaining is 16
Depot A 20 traded 1 product A for 2$. New balance is 129, stock remaining is 15
Depot A 22 traded 1 product A for 2$. New balance is 85, stock remaining is 39
Depot A 22 traded 1 product A for 2$. New balance is 87, stock remaining is 38
Depot A 22 traded 1 product A for 2$. New balance is 89, stock remaining is 37
Depot A 22 traded 1 product A for 2$. New balance is 91, stock remaining is 36
Depot A 22 traded 1 product A for 2$. New balance is 93, stock remaining is 35
Depot A 22 traded 1 product A for 2$. New balance is 95, stock remaining is 34
Depot A 22 traded 1 product A for 2$. New balance is 97, stock remaining is 33
Depot A 22 traded 1 product A for 2$. New balance is 99, stock remaining is 32
Depot A 22 traded 1 product A for 2$. New balance is 101, stock remaining is 31
Depot A 22 traded 1 product A for 2$. New balance is 103, stock remaining is 30
Depot A 22 traded 1 product A for 2$. New balance is 105, stock remaining is 29
Depot A 22 traded 1 product A for 2$. New balance is 107, stock remaining is 28
Depot A 22 traded 1 product A for 2$. New balance is 109, stock remaining is 27
Depot A 22 traded 1 product A for 2$. New balance is 111, stock remaining is 26
Depot A 22 traded 1 product A for 2$. New balance is 113, stock remaining is 25
Depot A 22 traded 1 product A for 2$. New balance is 115, stock remaining is 24
Depot A 22 traded 1 product A for 2$. New balance is 117, stock remaining is 23
Depot A 22 traded 1 product A for 2$. New balance is 119, stock remaining is 22
Depot A 22 traded 1 product A for 2$. New balance is 121, stock remaining is 21
Depot A 22 traded 1 product A for 2$. New balance is 123, stock remaining is 20
Depot A 22 traded 1 product A for 2$. New balance is 125, stock remaining is 19
Depot A 22 traded 1 product A for 2$. New balance is 127, stock remaining is 18
Depot A 22 traded 1 product A for 2$. New balance is 129, stock remaining is 17
Depot A 22 traded 1 product A for 2$. New balance is 131, stock remaining is 16
Depot A 22 traded 1 product A for 2$. New balance is 133, stock remaining is 15
Depot A 23 traded 1 product A for 8$. New balance is 105, stock remaining is 18
Depot A 23 traded 1 product A for 8$. New balance is 113, stock remaining is 17
Depot A 23 traded 1 product A for 8$. New balance is 121, stock remaining is 16
Depot A 23 traded 1 product A for 8$. New balance is 129, stock remaining is 15
Depot A 24 traded 1 product A for 16$. New balance is 78, stock remaining is 35
Depot A 24 traded 1 product A for 16$. New balance is 94, stock remaining is 34
Depot A 24 traded 1 product A for 16$. New balance is 110, stock remaining is 33
Depot A 24 traded 1 product A for 16$. New balance is 126, stock remaining is 32
Depot A 24 traded 1 product A for 16$. New balance is 142, stock remaining is 31
Depot A 24 traded 1 product A for 16$. New balance is 158, stock remaining is 30
Depot A 24 traded 1 product A for 16$. New balance is 174, stock remaining is 29
Depot A 24 traded 1 product A for 16$. New balance is 190, stock remaining is 28
Depot A 24 traded 1 product A for 16$. New balance is 206, stock remaining is 27
Depot A 24 traded 1 product A for 16$. New balance is 222, stock remaining is 26
Depot A 24 traded 1 product A for 16$. New balance is 238, stock remaining is 25
Depot A 24 traded 1 product A for 16$. New balance is 254, stock remaining is 24
Depot A 24 traded 1 product A for 16$. New balance is 270, stock remaining is 23
Depot A 24 traded 1 product A for 16$. New balance is 286, stock remaining is 22
Depot A 24 traded 1 product A for 16$. New balance is 302, stock remaining is 21
Depot A 24 traded 1 product A for 16$. New balance is 318, stock remaining is 20
Depot A 24 traded 1 product A for 16$. New balance is 334, stock remaining is 19
Depot A 24 traded 1 product A for 16$. New balance is 350, stock remaining is 18
Depot A 24 traded 1 product A for 16$. New balance is 366, stock remaining is 17
Depot A 24 traded 1 product A for 16$. New balance is 382, stock remaining is 16
Depot A 24 traded 1 product A for 16$. New balance is 398, stock remaining is 15
Depot A 25 traded 1 product A for 12$. New balance is 92, stock remaining is 20
Depot A 25 traded 1 product A for 12$. New balance is 104, stock remaining is 19
Depot A 25 traded 1 product A for 12$. New balance is 116, stock remaining is 18
Depot A 25 traded 1 product A for 12$. New balance is 128, stock remaining is 17
Depot A 25 traded 1 product A for 12$. New balance is 140, stock remaining is 16
Depot A 25 traded 1 product A for 12$. New balance is 152, stock remaining is 15
Depot A 26 traded 1 product A for 8$. New balance is 99, stock remaining is 34
Depot A 26 traded 1 product A for 8$. New balance is 107, stock remaining is 33
Depot A 26 traded 1 product A for 8$. New balance is 115, stock remaining is 32
Depot A 26 traded 1 product A for 8$. New balance is 123, stock remaining is 31
Depot A 26 traded 1 product A for 8$. New balance is 131, stock remaining is 30
Depot A 26 traded 1 product A for 8$. New balance is 139, stock remaining is 29
Depot A 26 traded 1 product A for 8$. New balance is 147, stock remaining is 28
Depot A 26 traded 1 product A for 8$. New balance is 155, stock remaining is 27
Depot A 26 traded 1 product A for 8$. New balance is 163, stock remaining is 26
Depot A 26 traded 1 product A for 8$. New balance is 171, stock remaining is 25
Depot A 26 traded 1 product A for 8$. New balance is 179, stock remaining is 24
Depot A 26 traded 1 product A for 8$. New balance is 187, stock remaining is 23
Depot A 26 traded 1 product A for 8$. New balance is 195, stock remaining is 22
Depot A 26 traded 1 product A for 8$. New balance is 203, stock remaining is 21
Depot A 26 traded 1 product A for 8$. New balance is 211, stock remaining is 20
Depot A 26 traded 1 product A for 8$. New balance is 219, stock remaining is 19
Depot A 26 traded 1 product A for 8$. New balance is 227, stock remaining is 18
Depot A 26 traded 1 product A for 8$. New balance is 235, stock remaining is 17
Depot A 26 traded 1 product A for 8$. New balance is 243, stock remaining is 16
Depot A 26 traded 1 product A for 8$. New balance is 251, stock remaining is 15
Depot A 29 traded 1 product A for 12$. New balance is 70, stock remaining is 37
Depot A 29 traded 1 product A for 12$. New balance is 82, stock remaining is 36
Depot A 29 traded 1 product A for 12$. New balance is 94, stock remaining is 35
Depot A 29 traded 1 product A for 12$. New balance is 106, stock remaining is 34
Depot A 29 traded 1 product A for 12$. New balance is 118, stock remaining is 33
Depot A 29 traded 1 product A for 12$. New balance is 130, stock remaining is 32
Depot A 29 traded 1 product A for 12$. New balance is 142, stock remaining is 31
Depot A 29 traded 1 product A for 12$. New balance is 154, stock remaining is 30
Depot A 29 traded 1 product A for 12$. New balance is 166, stock remaining is 29
Depot A 29 traded 1 product A for 12$. New balance is 178, stock remaining is 28
Depot A 29 traded 1 product A for 12$. New balance is 190, stock remaining is 27
Depot A 29 traded 1 product A for 12$. New balance is 202, stock remaining is 26
Depot A 29 traded 1 product A for 12$. New balance is 214, stock remaining is 25
Depot A 29 traded 1 product A for 12$. New balance is 226, stock remaining is 24
Depot A 29 traded 1 product A for 12$. New balance is 238, stock remaining is 23
Depot A 29 traded 1 product A for 12$. New balance is 250, stock remaining is 22
Depot A 29 traded 1 product A for 12$. New balance is 262, stock remaining is 21
Depot A 29 traded 1 product A for 12$. New balance is 274, stock remaining is 20
Depot A 29 traded 1 product A for 12$. New balance is 286, stock remaining is 19
Depot A 29 traded 1 product A for 12$. New balance is 298, stock remaining is 18
Depot A 29 traded 1 product A for 12$. New balance is 310, stock remaining is 17
Depot A 29 traded 1 product A for 12$. New balance is 322, stock remaining is 16
Depot A 29 traded 1 product A for 12$. New balance is 334, stock remaining is 15
Depot A 31 traded 1 product A for 8$. New balance is 79, stock remaining is 31
Depot A 31 traded 1 product A for 8$. New balance is 87, stock remaining is 30
Depot A 31 traded 1 product A for 8$. New balance is 95, stock remaining is 29
Depot A 31 traded 1 product A for 8$. New balance is 103, stock remaining is 28
Depot A 31 traded 1 product A for 8$. New balance is 111, stock remaining is 27
Depot A 31 traded 1 product A for 8$. New balance is 119, stock remaining is 26
Depot A 31 traded 1 product A for 8$. New balance is 127, stock remaining is 25
Depot A 31 traded 1 product A for 8$. New balance is 135, stock remaining is 24
Depot A 31 traded 1 product A for 8$. New balance is 143, stock remaining is 23
Depot A 31 traded 1 product A for 8$. New balance is 151, stock remaining is 22
Depot A 31 traded 1 product A for 8$. New balance is 159, stock remaining is 21
Depot A 31 traded 1 product A for 8$. New balance is 167, stock remaining is 20
Depot A 31 traded 1 product A for 8$. New balance is 175, stock remaining is 19
Depot A 31 traded 1 product A for 8$. New balance is 183, stock remaining is 18
Depot A 31 traded 1 product A for 8$. New balance is 191, stock remaining is 17
Depot A 31 traded 1 product A for 8$. New balance is 199, stock remaining is 16
Depot A 31 traded 1 product A for 8$. New balance is 207, stock remaining is 15
Depot A 32 traded 1 product A for 14$. New balance is 106, stock remaining is 21
Depot A 32 traded 1 product A for 14$. New balance is 120, stock remaining is 20
Depot A 32 traded 1 product A for 14$. New balance is 134, stock remaining is 19
Depot A 32 traded 1 product A for 14$. New balance is 148, stock remaining is 18
Depot A 32 traded 1 product A for 14$. New balance is 162, stock remaining is 17
Depot A 32 traded 1 product A for 14$. New balance is 176, stock remaining is 16
Depot A 32 traded 1 product A for 14$. New balance is 190, stock remaining is 15
Depot A 33 traded 1 product A for 20$. New balance is 90, stock remaining is 17
Depot A 33 traded 1 product A for 20$. New balance is 110, stock remaining is 16
Depot A 33 traded 1 product A for 20$. New balance is 130, stock remaining is 15
Depot A 34 traded 1 product A for 16$. New balance is 95, stock remaining is 29
Depot A 34 traded 1 product A for 16$. New balance is 111, stock remaining is 28
Depot A 34 traded 1 product A for 16$. New balance is 127, stock remaining is 27
Depot A 34 traded 1 product A for 16$. New balance is 143, stock remaining is 26
Depot A 34 traded 1 product A for 16$. New balance is 159, stock remaining is 25
Depot A 34 traded 1 product A for 16$. New balance is 175, stock remaining is 24
Depot A 34 traded 1 product A for 16$. New balance is 191, stock remaining is 23
Depot A 34 traded 1 product A for 16$. New balance is 207, stock remaining is 22
Depot A 34 traded 1 product A for 16$. New balance is 223, stock remaining is 21
Depot A 34 traded 1 product A for 16$. New balance is 239, stock remaining is 20
Depot A 34 traded 1 product A for 16$. New balance is 255, stock remaining is 19
Depot A 34 traded 1 product A for 16$. New balance is 271, stock remaining is 18
Depot A 34 traded 1 product A for 16$. New balance is 287, stock remaining is 17
Depot A 34 traded 1 product A for 16$. New balance is 303, stock remaining is 16
Depot A 34 traded 1 product A for 16$. New balance is 319, stock remaining is 15
Depot A 35 traded 1 product A for 14$. New balance is 97, stock remaining is 36
Depot A 35 traded 1 product A for 14$. New balance is 111, stock remaining is 35
Depot A 35 traded 1 product A for 14$. New balance is 125, stock remaining is 34
Depot A 35 traded 1 product A for 14$. New balance is 139, stock remaining is 33
Depot A 35 traded 1 product A for 14$. New balance is 153, stock remaining is 32
Depot A 35 traded 1 product A for 14$. New balance is 167, stock remaining is 31
Depot A 35 traded 1 product A for 14$. New balance is 181, stock remaining is 30
Depot A 35 traded 1 product A for 14$. New balance is 195, stock remaining is 29
Depot A 35 traded 1 product A for 14$. New balance is 209, stock remaining is 28
Depot A 35 traded 1 product A for 14$. New balance is 223, stock remaining is 27
Depot A 35 traded 1 product A for 14$. New balance is 237, stock remaining is 26
Depot A 35 traded 1 product A for 14$. New balance is 251, stock remaining is 25
Depot A 35 traded 1 product A for 14$. New balance is 265, stock remaining is 24
Depot A 35 traded 1 product A for 14$. New balance is 279, stock remaining is 23
Depot A 35 traded 1 product A for 14$. New balance is 293, stock remaining is 22
Depot A 35 traded 1 product A for 14$. New balance is 307, stock remaining is 21
Depot A 35 traded 1 product A for 14$. New balance is 321, stock remaining is 20
Depot A 35 traded 1 product A for 14$. New balance is 335, stock remaining is 19
Depot A 35 traded 1 product A for 14$. New balance is 349, stock remaining is 18
Depot A 35 traded 1 product A for 14$. New balance is 363, stock remaining is 17
Depot A 35 traded 1 product A for 14$. New balance is 377, stock remaining is 16
Depot A 35 traded 1 product A for 14$. New balance is 391, stock remaining is 15
Depot A 36 traded 1 product A for 12$. New balance is 64, stock remaining is 36
Depot A 36 traded 1 product A for 12$. New balance is 76, stock remaining is 35
Depot A 36 traded 1 product A for 12$. New balance is 88, stock remaining is 34
